,OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_households,Total_households_MOE,HH_income_less_35k,HH_income_less_35k_MOE,Pct_HH_income_less_35k,Pct_HH_income_less_35k_MOE,HH_income_35k_75k,HH_income_35k_75k_MOE,Pct_HH_income_35k_75k,Pct_HH_income_35k_75k_MOE,HH_income_75k_200k,HH_income_75k_200k_MOE,Pct_HH_income_75k_200k,Pct_HH_income_75k_200k_MOE,HH_income_200k_more,HH_income_200k_more_MOE,Pct_HH_income_200k_more,Pct_HH_income_200k_more_MOE,Median_HH_income,Median_HH_income_MOE,Median_HH_Income_2000,Chg_Median_HH_Income_2000_16,Average_Per_capita_Income,Average_Per_capita_Income_MOE,Aggregate_Household_Income,Aggregate_Household_Income_MOE,Mean_Household_Income,Mean_Household_Income_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date,county_name,cases,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases
445,446,13121011301,13121,"Census Tract 113.01, Fulton County",4574,476,1664,140,693,150,41.6,8.3,659,148,39.6,8.2,290,112,17.4,6.6,22,24,1.3,1.0,48523.0,10424.0,45525.210080000004,2997.789916,21973.0,2702.0,87622600.0,14882931.0,52657.8,7769.7,ARC 10,1244.0300293,6.67802,1250.70996094,1.94379997,0.0104344,1.95422995,11301,Fulton,{3B49D4C8-C173-470D-AEA2-39594D7C23F5},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
446,461,13121007604,13121,"Census Tract 76.04, Fulton County",2438,575,928,132,807,190,87.0,16.4,82,58,8.8,6.1,24,28,2.6,3.0,15,19,1.6,2.0,15493.0,3407.0,16902.173909999998,-1409.173913,13714.0,4234.0,27745800.0,10659540.0,29898.5,10670.3,ARC 10,276.49301147,0.0,276.49301147,0.43202001,0.0,0.43202001,7604,Fulton,{65CEB8A6-663A-4F3E-B6A2-6FE63BA4864C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
447,462,13121007704,13121,"Census Tract 77.04, Fulton County",5446,559,2002,134,1142,238,57.0,11.3,495,160,24.7,7.8,288,97,14.4,4.8,77,66,3.8,3.0,31537.0,3544.0,27452.830189999997,4084.1698109999998,21130.0,3850.0,105140400.0,23061922.0,52517.7,10970.0,ARC 10,1670.94995117,17.48810005,1688.43994141,2.61086011,0.0273252,2.63819003,7704,Fulton,{4FDA984D-CA67-429B-A431-A60852A49ABA},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
448,463,13121007603,13121,"Census Tract 76.03, Fulton County",4601,693,2049,198,1789,328,87.3,13.6,167,90,8.2,4.3,93,86,4.5,4.2,0,13,0.0,1.0,13819.0,1912.0,19283.08824,-5464.088235,10223.0,1057.0,42851700.0,8108534.0,20913.5,3402.4,ARC 10,779.24401855,0.0,779.24401855,1.21756995,0.0,1.21756995,7603,Fulton,{8241FE9C-5997-40B3-A634-470BEAAED46C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
449,464,13121011427,13121,"Census Tract 114.27, Fulton County",7769,469,2916,131,314,134,10.8,4.6,637,200,21.8,6.8,1565,266,53.7,8.8,400,122,13.7,4.0,106709.0,10630.0,93089.20705,13619.79295,46746.0,3334.0,355518400.0,33683076.0,121919.9,10170.0,ARC 10,1704.76000977,25.11930084,1729.88000488,2.66369009,0.0392489,2.70293999,11427,Fulton,{D038A718-1D7C-4846-B165-5588602F8F2C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
450,465,13121011616,13121,"Census Tract 116.16, Fulton County",5345,440,2390,181,438,208,18.3,8.6,958,272,40.1,11.0,859,228,35.9,9.1,135,74,5.6,3.0,62471.0,8400.0,49274.19355,13196.80645,39743.0,3316.0,207617296.0,25838202.0,86869.2,8578.8,ARC 10,1414.14001465,3.5936501000000005,1417.73999023,2.20958996,0.00561508,2.21521997,11616,Fulton,{1F52B998-23F3-4427-8EA6-0B7994F1D73B},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
451,466,13121011617,13121,"Census Tract 116.17, Fulton County",7279,542,2698,163,277,112,10.3,4.1,521,182,19.3,6.7,1325,236,49.1,8.2,575,167,21.3,6.0,104444.0,10561.0,103054.7753,1389.224719,50725.0,5257.0,362857600.0,46798848.0,134491.3,15325.0,ARC 10,1617.72998047,8.73789024,1626.4699707,2.52769995,0.013653,2.5413599,11617,Fulton,{9822746F-9E2C-4B91-AF2F-DF0D39B32338},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
452,467,13121011611,13121,"Census Tract 116.11, Fulton County",7437,798,3229,206,1065,289,33.0,8.7,924,237,28.6,7.1,1147,283,35.5,8.5,93,56,2.9,2.0,58359.0,6691.0,52795.698919999995,5563.301075,32156.0,2417.0,223914896.0,26651624.0,69345.0,6968.1,ARC 10,3487.07006836,18.72979927,3505.80004883,5.44855022,0.0292653,5.47780991,11611,Fulton,{5EC3FD12-0497-4C70-8482-8650F9AB585A},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
453,468,13121010800,13121,"Census Tract 108, Fulton County",6658,18,2729,317,1027,295,37.6,9.9,1089,304,39.9,10.1,534,184,19.6,6.4,79,87,2.9,3.0,43326.0,6817.0,34571.8232,8754.176796,26034.0,3728.0,155537904.0,23506808.0,56994.5,5510.5,ARC 10,1367.45996094,0.0,1367.45996094,2.1366601000000003,0.0,2.1366601000000003,10800,Fulton,{AC14AF10-0D46-4E1C-B340-F317252800EA},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
454,469,13121980000,13121,"Census Tract 9800, Fulton County",0,13,0,13,0,32,,,0,29,,,0,26,,,0,13,,,,,,,,,,,,,ARC 10,675.31500244,0.0,675.31500244,1.05517995,0.0,1.05517995,980000,Fulton,{6E5D8E68-B759-4CF9-8025-7687AD5EAA4C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
