,OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_households,Total_households_MOE,HH_income_less_35k,HH_income_less_35k_MOE,Pct_HH_income_less_35k,Pct_HH_income_less_35k_MOE,HH_income_35k_75k,HH_income_35k_75k_MOE,Pct_HH_income_35k_75k,Pct_HH_income_35k_75k_MOE,HH_income_75k_200k,HH_income_75k_200k_MOE,Pct_HH_income_75k_200k,Pct_HH_income_75k_200k_MOE,HH_income_200k_more,HH_income_200k_more_MOE,Pct_HH_income_200k_more,Pct_HH_income_200k_more_MOE,Median_HH_income,Median_HH_income_MOE,Median_HH_Income_2000,Chg_Median_HH_Income_2000_16,Average_Per_capita_Income,Average_Per_capita_Income_MOE,Aggregate_Household_Income,Aggregate_Household_Income_MOE,Mean_Household_Income,Mean_Household_Income_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date,county_name,cases,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases
14,15,13045910702,13045,"Census Tract 9107.02, Carroll County",8052,958,2973,194,791,220,26.6,7.2,1206,271,40.6,8.7,875,193,29.4,6.2,101,77,3.4,3,60407,8627,54395.16129,6011.83871,26201,4318,206642704,24629704,69506.5,6932.6,ARC 20,14868.5,304.7430115,15173.2998,23.23200035,0.476161,23.70829964,910702,Carroll,{AEBF0F70-C780-4C1D-98EF-175594F5461A},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
301,302,13015960500,13015,"Census Tract 9605, Bartow County",8056,839,2789,188,1014,285,36.4,9.9,1061,263,38,9.1,643,177,23.1,6.2,71,52,2.5,2,46313,10409,42247.89916,4065.10084,22131,4005,176371296,37196388,63238.2,12637.2,ARC 20,6003.660156,0,6003.660156,9.38072014,0,9.38072014,960500,Bartow,{AE6CA297-D2EB-444B-8AF2-1847DEEE4752},1970/01/01 00:00:00+00,Bartow,3580,13,15,110771,330,94,3231.89,84.86,336.73,373
765,766,13089021216,13089,"Census Tract 212.16, DeKalb County",8057,750,4109,328,671,264,16.3,6.3,1267,368,30.8,8.6,1787,409,43.5,9.3,384,153,9.3,4,81554,11655,76001.9084,5552.091603,51251,2864,403867808,44878364,98288.6,7598.1,ARC 10,896.7869873,0,896.7869873,1.40122998,0,1.40122998,21216,DeKalb,{50CB77F4-9B0B-46B3-83E5-89B7FD1A01CE},1970/01/01 00:00:00+00,DeKalb,21049,13,89,793154,2309,397,2653.84,50.05,141.21,1120
128,174,13067030239,13067,"Census Tract 302.39, Cobb County",8074,439,2585,102,204,105,7.9,4.1,598,180,23.1,6.9,1255,249,48.5,9.5,528,160,20.4,6,101853,13947,93910.25641,7942.74359,43953,4531,352505408,41448832,136365.7,15104.6,ARC 10,4803.799805,24.15060043,4827.950195,7.50593996,0.0377353,7.54367018,30239,Cobb,{14572FE5-CBAA-49DB-A44F-A63F765BF475},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
150,196,13067030318,13067,"Census Tract 303.18, Cobb County",8077,414,2909,54,221,93,7.6,3.2,415,141,14.3,4.8,1459,282,50.2,9.7,814,185,28,6,138065,11973,115706.1688,22358.83117,73778,11695,597536512,99965368,205409.6,34152,ARC 10,2840.350098,83.64019775,2923.98999,4.43804979,0.130688,4.56872988,30318,Cobb,{E028DB4C-6644-4C90-B7B2-053D365CF0CC},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
118,161,13067031309,13067,"Census Tract 313.09, Cobb County",8085,730,2559,171,981,220,38.3,8.2,900,223,35.2,8.4,678,225,26.5,8.6,0,18,0,1,48825,6824,48320.70707,504.2929293,17654,628,139363296,13906020,54460.1,4035.6,ARC 10,1970.060059,0.62221098,1970.680054,3.07821989,0.00097221,3.07919002,31309,Cobb,{B9AFFCE3-CE1A-4DC8-80D4-35E2BF111AB0},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
48,49,13247060308,13247,"Census Tract 603.08, Rockdale County",8097,724,2502,180,1207,256,48.2,9.6,812,205,32.5,7.8,473,170,18.9,6.7,10,19,0.4,1,37115,7237,38654.97076,-1539.97076,16465,797,121088096,12878017,48396.5,3790.8,ARC 10,1967.76001,35.12210083,2002.880005,3.07463002,0.0548783,3.12949991,60308,Rockdale,{C511B5DF-7120-4A47-8CDE-0E5D8393E272},1970/01/01 00:00:00+00,Rockdale,2116,13,247,94960,266,40,2228.31,42.12,163.23,155
23,24,13113140407,13113,"Census Tract 1404.07, Fayette County",8111,572,3058,153,536,166,17.5,5.4,1229,272,40.2,8.6,1205,258,39.4,8.2,88,86,2.9,3,66851,3439,49349.11243,17501.88757,30882,2218,241662896,24429848,79026.5,6941.8,ARC 10,5399.680176,120.4280014,5520.109863,8.43700027,0.188169,8.62516975,140407,Fayette,{05830292-EAD4-437C-933C-BBD2739A56EA},1970/01/01 00:00:00+00,Fayette,2123,13,113,117544,128,57,1806.13,48.49,110.6,130
807,808,13089023316,13089,"Census Tract 233.16, DeKalb County",8115,846,2913,151,503,170,17.3,5.8,1223,297,42,9.9,1115,296,38.3,10,72,40,2.5,1,62002,5485,65135.13514,-3133.135135,29763,2610,231621200,30620600,79512.9,9669.9,ARC 10,1307.319946,172.6799927,1480,2.04269004,0.26981199,2.3125,23316,DeKalb,{52CCD9C2-AB8F-4DF0-8BED-F61285404AEC},1970/01/01 00:00:00+00,DeKalb,21049,13,89,793154,2309,397,2653.84,50.05,141.21,1120
170,216,13067030314,13067,"Census Tract 303.14, Cobb County",8172,477,2609,117,226,111,8.7,4.2,801,206,30.7,7.8,1124,221,43.1,8.2,458,121,17.6,5,92537,16642,84806.48536,7730.514644,43098,5234,348024192,47534456,133393.7,17209.4,ARC 10,1965.810059,13.63479996,1979.439941,3.07157993,0.0213044,3.09288001,30314,Cobb,{C0E8CBE9-C9EE-4ED4-AE09-C62F75A2A453},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
